epoch,train_loss,val_loss,dice_background,dice_pancreas,dice_tumor,lr,train_seconds,val_seconds,epoch_seconds
0,1.972925,1.78469,0.461417,0.07785,0.000801,9.755282581475769e-05,269.3,26.0,295.3
1,1.679113,1.653858,0.500499,0.092598,0.002782,9.045084971874737e-05,198.8,8.1,206.8
2,1.497003,1.795944,0.520531,0.110615,0.00146,7.938926261462366e-05,186.0,8.0,194.0
3,1.37075,1.955719,0.541095,0.113374,0.001059,6.545084971874737e-05,190.7,8.9,199.6
4,1.257517,2.161625,0.570993,0.116804,0.000581,4.9999999999999996e-05,204.4,8.9,213.2
5,1.230969,2.106394,0.576752,0.11035,0.001168,3.454915028125263e-05,202.3,8.9,211.2
6,1.166636,2.162945,0.606631,0.123362,0.000555,2.0610737385376345e-05,204.1,8.9,213.1
7,1.152935,2.141006,0.613583,0.124437,0.000599,9.549150281252631e-06,201.7,8.8,210.4
8,1.131484,2.22487,0.61512,0.12519,0.00037,2.447174185242323e-06,197.7,8.8,206.5
9,1.127741,2.223649,0.618287,0.125032,0.000411,0.0,203.3,8.7,211.9
